,LICENSENO,LICSTATUS,LICCAT,LICCATDESC,Address_Complete,Location_Complete
230,LB-98912,Active,CV7AL,CV7 All Alc.,Federal ST Boston MA,"(42.3567881, -71.0567607)"
231,LB-101633,Active,INNAL,Inn. All Alc.,Rowes Wharf Boston MA,"(42.3557276, -71.0499095)"
232,LB-98788,Active,CLBAL,Clb. All Alc.,Morrell ST West Roxbury MA,"(42.273192, -71.168159)"
233,LB-101625,Active,INNAL,Inn. All Alc.,Huntington Av Boston MA,"(42.3397762, -71.0906494)"
234,LB-98934,Active,CV7AL,CV7 All Alc.,Science Pk Boston MA,"(42.3667323, -71.0677425)"
235,LB-99438,Active,CV7AL,CV7 All Alc.,Washington ST Boston MA,"(42.3440542, -71.1426459)"
236,LB-99554,Active,CV7MW,CV7 Malt Wine,Dorchester AV Dorchester MA,"(42.3079919, -71.0583042)"
237,LB-99007,Active,CV7AL,CV7 All Alc.,One International Place Boston MA,"(42.35571895, -71.0521484370507)"
238,LB-101632,Active,INNAL,Inn. All Alc.,Providence St Boston MA,"(42.3507877, -71.0727036)"
239,LB-138627,Active,CLBMWR,Clb. Malt Wine Restrict.,Summer ST Boston MA,"(42.3536753, -71.0580245)"
240,LB-99150,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
241,LB-99349,Active,CV7AL,CV7 All Alc.,Boston ST Dorchester MA,"(42.3283731, -71.0577596)"
242,LB-99127,Active,CV7AL,CV7 All Alc.,Congress ST Boston MA,"(42.3525392, -71.0524452)"
243,LB-99158,Active,CV7AL,CV7 All Alc.,Mount Vernon ST Dorchester MA,"(42.3204982, -71.0500131)"
244,LB-99528,Active,CV7MW,CV7 Malt Wine,Huntington AV Boston MA,"(42.3397762, -71.0906494)"
245,LB-99443,Active,CV7AL,CV7 All Alc.,State ST Boston MA,"(42.3588444, -71.0572152)"
246,LB-99457,Active,CV7AL,CV7 All Alc.,Stanhope St Boston MA,"(42.3483389, -71.0732835)"
